DENOMINACIÓN;LOCALIDAD;PROVINCIA;FECHA DE CELEBRACION DE LA FIESTA ;FECHA_Resolucion;FIESTAS_de_interes_turistico;FIESTAS_INTERES_REGIONAL;FECHA_BOE;FECHA_ACTUALIZACION_BOE;OBSERVACIONES
DESFILE DE CARROZAS DE LAS FIESTAS DE SEPTIEMBRE;AZUQUECA DE HENARES;GUADALAJARA;Tercer domingo de septiembre. Fecha variable;01/09/2009;;14/09/2009;;;Tercer domingo de septiembre
LA PROCESIÓN DEL STMO. CRISTO DE LA SALA;BARGAS;TOLEDO;Tercer domingo de septiembre;20/03/2003;;07/04/2003;;;Tercer domingo de septiembre
EL TORO DE FUEGO;BARRAX;ALBACETE;agosto;19/07/2018;;06/08/2018;;;
PROCESIÓN DEL CRISTO DE LA COLUMNA Y RIFA DE OFRENDAS ;BOLAÑOS  DE CALATRAVA;CIUDAD  REAL;13 y 14 de septiembre;01/06/2022;;09/06/2022;;;
PROCESIÓN DEL  CRISTO DE LA COLUMNA Y RIFA DE OFRENDAS;BOLAÑOS DE CALATRAVA;CIUDAD REAL;13 y 14 de septiembre ;01/06/2022;;09/06/2022;;;
ENCIERRO DE BRIHUEGA;BRIHUEGA;GUADALAJARA;16 y 17 de agosto;28/07/2009;;13/08/2009;;;
JUEGO DE LAS CARAS;CALZADA DE CALATRAVA;CIUDAD REAL;Fecha variable según calendario nacional. Viernes santo por la mañana;21/12/1995;;19/01/1996;;;Viernes Santo
SEMANA SANTA;CAMPO DE CRIPTANA;CIUDAD REAL;Fecha variable según calendario nacional;18/08/2008;;05/09/2008;;;De Domingo de Ramos a Domingo de Resurrección, ambos incluídos.
DANZANTES Y PECADOS;CAMUÑAS;TOLEDO;Fecha variable según calendario nacional;27/05/2010;16/02/1980;24/06/2010;;;Corpus Christi y domingo siguiente
LA ALVARADA MEDIEVAL;CAÑETE;CUENCA;Primera semana de agosto;17/07/2014;;01/08/2014;;;
FIESTA DE “MONTONES Y CARRERA NOCTURNA DE ANTORCHAS”;CARCELÉN;ALBACETE;agosto;19/07/2018;;13/08/2018;;;
SEMANA SANTA;CARMENA;TOLEDO;Fecha variable según calendario nacional;11/03/2015;;24/03/2015;;;De Domingo de Ramos a Domingo de Resurrección, ambos incluídos.
FIESTA DE MOROS Y CRISTIANOS;CAUDETE;ALBACETE;5-10 de septiembre;20/07/1987;16/02/1980;28/07/1987;;;
SEMANA SANTA;CEBOLLA;TOLEDO;Fecha variable según calendario nacional;04/03/2021;;26/03/2021;;;
LA VAQUILLA;CHILLÓN;CIUDAD REAL;13 de agosto;11/07/2017;;27/07/2017;;;agosto
SEMANA SANTA;CHINCHILLA DE MONTEARAGÓN;ALBACETE;Fecha variable según calendario nacional;23/01/2002;;06/02/2002;;;De Domingo de Ramos a Domingo de Resurrección, ambos incluídos.
DOMINGO DE PIÑATA;CIUDAD REAL;CIUDAD REAL;Fecha variable según calendario nacional.;27/11/1991;;11/12/1991;;;Fecha variable
FIESTA DE LA PANDORGA;CIUDAD REAL;CIUDAD REAL;31 de julio;03/12/1985;;17/12/1985;;;
SEMANA SANTA;CIUDAD REAL;CIUDAD REAL;Fecha variable según calendario nacional;03/12/1985;;17/12/1985;08/03/2006;;De Domingo de Ramos a Domingo de Resurrección, ambos incluídos.
SANTA ÁGUEDA;COGOLLUDO;GUADALAJARA;5 de febrero;21/12/1995;;19/01/1996;;;
CONSUEGRA MEDIEVAL;CONSUEGRA;TOLEDO;en torno al 15 de agosto;21/05/2015;;02/06/2015;;;
ROSA DEL AZAFRÁN;CONSUEGRA;TOLEDO;Último fin de semana de octubre;06/10/2008;16/02/1980;06/11/2008;;;Último fin de semana de octubre
SEMANA SANTA;CORRAL DE ALMAGUER;TOLEDO;Fecha variable según calendario nacional;02/03/2012;;21/03/2012;;;De Domingo de Ramos a Domingo de Resurrección, ambos incluídos.
FIESTA DE SAN MATEO;CUENCA;CUENCA;18-21 de septiembre;03/08/2001;;21/08/2001;;;
SEMANA SANTA Y SEMANA  DE MÚSICA RELIGIOSA;CUENCA;CUENCA;Fecha variable según calendario nacional;27/06/1966;;X;X;16/02/1980;Fecha variable
SEMANA SANTA;DAIMIEL;CIUDAD REAL;Fecha variable según calendario nacional;06/03/2002;;06/03/2002;;;De Domingo de Ramos a Domingo de Resurrección, ambos incluídos.
SEMANA SANTA;EL BONILLO;ALBACETE;Fecha variable según calendario nacional;28/03/2011;;01/04/2011;;;De Domingo de Ramos a Domingo de Resurrección, ambos incluídos.
JORNADAS CERVANTINAS;EL TOBOSO;TOLEDO;Fin de seman más próximo al 23 de abril;26/03/2012;;18/04/2012;;;Fin de semana más próximo al 23 de abril. Hablé con la alcaldesa el día 4-1.
ENCIERROS DE TOROS;ELCHE DE LA SIERRA;ALBACETE;3 de febrero y 15-19 de septiembre;19/12/2016;;29/12/2016;;;Hablé con Roberto del Ayto. el 4-1.
FIESTA DE LAS ALFOMBRAS DE SERRÍN;ELCHE DE LA SIERRA;ALBACETE;Fecha variable según calendario nacional;27/03/1994 - 08/04/2014;;15/04/1994;30/04/2014;;La noche antes del Corpus Christi (25/05)
SANTA ÁGUEDA;ESPINOSA DE HENARES;GUADALAJARA;Primer sábado de febrero;31/08/1998;;11/09/1998;;;Primer sábado de febrero
JORNADAS CERVANTINAS;ESQUIVIAS;TOLEDO;4-12 de diciembre;20/05/2015;;01/06/2015;;;Fechas previas al 12-12
ENCIERROS AL ESTILO FERNANDUCO;FERNÁN CABALLERO;CIUDAD REAL;30 de agosto;24/08/2012;;06/09/2012;;;
NOCHE DE LA HARINA, PINTA DE LA CARIDAD Y MAYORDOMÍAS;FUENTE EL  FRESNO;CIUDAD REAL;20 de mayo;18/10/2022;;07/11/2022;;;
